,run0,run1,run2,run3
348,3.0,0.0,4.0,1.0
349,3.0,4.0,0.0,5.0
350,3.0,2.0,0.0,5.0
351,2.0,2.0,2.0,4.0
352,4.0,2.0,2.0,6.0
353,0.0,2.0,2.0,2.0
354,0.0,3.0,6.0,0.0
355,1.0,9.0,6.0,0.0
356,1.0,3.0,0.0,4.0
357,3.0,5.0,0.0,4.0
358,3.0,2.0,0.0,5.0
359,3.0,3.0,2.0,7.0
360,5.0,0.0,2.0,7.0
361,7.0,4.0,6.0,5.0
362,1.0,4.0,6.0,7.0
363,1.0,5.0,7.0,3.0
364,3.0,0.0,3.0,2.0
365,3.0,0.0,3.0,3.0
366,3.0,0.0,1.0,3.0
367,5.0,1.0,1.0,9.0
368,3.0,7.0,7.0,11.0
369,3.0,3.0,7.0,3.0
370,3.0,3.0,7.0,1.0
371,3.0,7.0,3.0,7.0
372,5.0,6.0,5.0,7.0
373,7.0,2.0,7.0,6.0
374,7.0,2.0,7.0,7.0
375,7.0,2.0,3.0,3.0
376,13.0,3.0,7.0,15.0
377,6.0,1.0,3.0,7.0
378,2.0,1.0,3.0,7.0
379,4.0,1.0,3.0,12.0
380,6.0,3.0,3.0,0.0
381,4.0,1.0,2.0,2.0
382,4.0,1.0,3.0,2.0
383,5.0,1.0,3.0,0.0
384,5.0,1.0,2.0,0.0
385,7.0,1.0,3.0,4.0
386,6.0,0.0,3.0,0.0
387,7.0,2.0,3.0,2.0
388,7.0,2.0,3.0,0.0
389,1.0,0.0,3.0,1.0
390,1.0,1.0,3.0,1.0
391,0.0,1.0,3.0,1.0
392,1.0,7.0,7.0,0.0
393,5.0,6.0,3.0,1.0
394,7.0,0.0,3.0,3.0
395,7.0,1.0,1.0,3.0
396,5.0,2.0,1.0,3.0
397,3.0,3.0,3.0,11.0
398,3.0,1.0,2.0,2.0
399,5.0,1.0,3.0,2.0
400,1.0,3.0,3.0,6.0
401,4.0,3.0,1.0,7.0
402,5.0,5.0,3.0,3.0
